Game,Month,Hours Watched,Hours Gained,% Hour Gained,Average Viewers, Viewers Gained,% Viewers Gained,Peak Concurrent Viewers ,Average Concurrent Streams,Concurrent Streams Gain,% Concurrent Streans Gain,Peak Concurrent Streams
Call of Duty ,05/01/19,8.1K,-,-,128,-,-,7.4K,3,-,-,78
Counter Strike Global Offensive,01/01/21,51.3M,-9.21M,-15.20%,79.3K,"-2,155",-2.60%,593K,2.2K,290,15.10%,4.6K
Counter Strike Global Offensive,12/01/20,60.5M,-280K,-0.50%,81.5K,"-3,063",-3.60%,390K,1.9K,113,6.30%,4.0K
Counter Strike Global Offensive,11/01/20,60.8M,+2.28M,3.90%,84.5K,"5,858",7.40%,552K,1.8K,273,17.80%,3.5K
Counter Strike Global Offensive,10/01/20,42.8M,-10.7M,-20%,77.5K,"3,168",4.30%,439K,1.5K,54,3.80%,2.8K
Counter Strike Global Offensive,09/01/20,53.5M,+5.36M,11.10%,74.4K,"9,608",14.80%,311K,1.4K,-9,-0.60%,2.6K
Counter Strike Global Offensive,08/01/20,48.1M,+6.21M,14.80%,64.8K,"8,333",14.80%,324K,1.4K,-159,-9.90%,2.5K
Counter Strike Global Offensive,07/01/20,41.9M,-33.8M,-44.70%,56.4K,"-49,119",-46.50%,198K,1.6K,-351,-18%,3.1K
Counter Strike Global Offensive,06/01/20,75.8M,-893K,-1.20%,106K,"2,100",2%,500K,1.9K,-449,-18.70%,4.2K
Counter Strike Global Offensive,05/01/20,76.7M,-9.72M,-11.30%,103K,"-17,200",-14.30%,377K,2.4K,-354,-12.90%,4.8K
Counter Strike Global Offensive,04/01/20,86.4M,+19.6M,29.30%,121K,"30,655",34.10%,570K,2.8K,719,35.40%,5.6K
Counter Strike Global Offensive,03/01/20,66.8M,+17.1M,34.30%,90.0K,"18,359",25.60%,829K,2.0K,400,24.50%,4.7K
Counter Strike Global Offensive,02/01/20,49.8M,+15.9M,46.90%,71.6K,"26,105",57.30%,615K,1.6K,-4,-0.20%,3.2K
Counter Strike Global Offensive,01/01/20,33.9M,-6.50M,-16.10%,45.5K,"-8,848",-16.30%,257K,1.6K,321,24.40%,3.4K
Counter Strike Global Offensive,12/01/19,40.4M,+5.87M,17%,54.4K,"4,869",9.80%,344K,1.3K,78,6.30%,2.7K
Counter Strike Global Offensive,11/01/19,34.5M,-8.75M,-20.20%,49.5K,"-10,847",-18%,299K,1.2K,-18,-1.40%,2.5K
Counter Strike Global Offensive,10/01/19,43.2M,-2.68M,-5.80%,60.4K,"-3,448",-5.40%,382K,1.3K,-14,-1.10%,2.6K
Counter Strike Global Offensive,09/01/19,45.9M,-215K,-0.50%,63.8K,"1,782",2.90%,660K,1.3K,-40,-3.10%,2.4K
Counter Strike Global Offensive,08/01/19,46.1M,+5.43M,13.30%,62.0K,"7,283",13.30%,518K,1.3K,82,6.70%,2.3K
Counter Strike Global Offensive,07/01/19,40.7M,+10.5M,34.80%,54.7K,"12,789",30.50%,434K,1.2K,58,5%,2.2K
Counter Strike Global Offensive,06/01/19,30.2M,+503K,1.70%,41.9K,"2,003",5%,350K,1.2K,14,1.20%,2.1K
Counter Strike Global Offensive,05/01/19,29.7M,-1.08M,-3.50%,39.9K,"-2,804",-6.60%,233K,1.2K,-18,-1.50%,2.3K
Counter Strike Global Offensive,04/01/19,30.8M,-4.70M,-13.30%,42.7K,"-4,967",-10.40%,311K,1.2K,-55,-4.50%,2.3K
Counter Strike Global Offensive,03/01/19,35.5M,-11.9M,-25.10%,47.7K,"-22,767",-32.30%,832K,1.2K,120,10.80%,2.5K
Counter Strike Global Offensive,02/01/19,47.4M,+16.6M,54%,70.5K,"29,152",70.50%,515K,1.1K,-304,-21.50%,2.6K
Counter Strike Global Offensive,01/01/19,30.7M,+5.20M,20.40%,41.3K,"6,994",20.40%,195K,1.4K,239,20.40%,2.9K
Counter Strike Global Offensive,12/01/18,25.5M,-1.59M,-5.90%,34.3K,"-3,349",-8.90%,273K,1.2K,163,16.10%,3.2K
Counter Strike Global Offensive,11/01/18,27.1M,+3.03M,12.60%,37.7K,"5,213",16.10%,298K,1.0K,44,4.60%,2.0K
Counter Strike Global Offensive,10/01/18,24.1M,-46.6M,-65.90%,32.5K,"-65,796",-67%,220K,967,-10,-1%,1.9K
Counter Strike Global Offensive,09/01/18,70.7M,+49.0M,226%,98.3K,"69,138",237%,867K,977,-45,-4.40%,1.9K
Counter Strike Global Offensive,08/01/18,21.7M,-4.86M,-18.30%,29.1K,"-6,891",-19.10%,187K,1.0K,88,9.40%,1.9K
Counter Strike Global Offensive,07/01/18,26.5M,+4.60M,21%,36.0K,"5,575",18.30%,237K,934,100,12%,1.7K
Counter Strike Global Offensive,06/01/18,21.9M,-4.50M,-17%,30.4K,"-5,078",-14.30%,279K,834,11,1.30%,1.6K
Counter Strike Global Offensive,05/01/18,26.4M,+3.48M,15.20%,35.5K,"3,605",11.30%,225K,823,-97,-10.50%,1.6K
Counter Strike Global Offensive,04/01/18,22.9M,-5.17M,-18.40%,31.9K,"-5,855",-15.50%,335K,920,-142,-13.40%,1.9K
Counter Strike Global Offensive,03/01/18,28.1M,-9.12M,-24.50%,37.8K,"-17,761",-32%,504K,1.1K,-96,-8.30%,2.3K
Counter Strike Global Offensive,02/01/18,37.2M,-32.3M,-46.50%,55.5K,"-37,942",-40.60%,373K,1.2K,104,9.90%,2.3K
Counter Strike Global Offensive,01/01/18,69.5M,+50.8M,272%,93.5K,"68,298",271%,1.30M,1.1K,177,20.20%,2.0K
Counter Strike Global Offensive,12/01/17,18.7M,-7.05M,-27.40%,25.2K,"-10,653",-29.70%,229K,877,79,9.90%,1.7K
Counter Strike Global Offensive,11/01/17,25.8M,-2.63M,-9.30%,35.8K,"-2,372",-6.20%,281K,798,1,0.10%,1.6K
Counter Strike Global Offensive,10/01/17,28.4M,+1.12M,4.10%,38.2K,294,0.80%,575K,797,23,3%,1.6K
