Game,Month,Hours Watched,Average Viewers,Average Concurrent Streams,Peak Concurrent Streams,Peak Viewers 
Counter Strike Global Offensive,8/1/17,20.2M,27.2K,864,1.6K,207K
Counter Strike Global Offensive,7/1/17,67.8M,91.4K,840,1.6K,947K
Counter Strike Global Offensive,6/1/17,21.8M,30.3K,788,1.5K,275K
Counter Strike Global Offensive,5/1/17,23.1M,31.8K,833,1.7K,195K
Counter Strike Global Offensive,4/1/17,36.4M,50.8K,876,1.8K,417K
Counter Strike Global Offensive,3/1/17,36.8M,49.6K,944,2.1K,507K
Counter Strike Global Offensive,2/1/17,40.4M,60.1K,1.0K,2.1K,461K
Counter Strike Global Offensive,1/1/17,72.1M,97.4K,937,2.2K,1.15M
Counter Strike Global Offensive,12/1/16,30.5M,41.1K,800,1.7K,237K
Fortnite,1/1/21,86.3M,133K,9.8K,19.4K,1000K
Fortnite,12/1/20,108M,146K,9.7K,133K,1.59M
Fortnite,11/1/20,83.0M,115K,8.6K,25.2K,498K
Fortnite,10/1/20,61.5M,111K,7.6K,14.6K,355K
Fortnite,9/1/20,77.7M,108K,8.7K,17.2K,271K
Fortnite,8/1/20,98.8M,133K,10.7K,21.9K,499K
Fortnite,7/1/20,105M,142K,12.0K,21.1K,327K
Fortnite,6/1/20,111M,155K,13.4K,118K,2.28M
Fortnite,5/1/20,122M,165K,13.8K,40.2K,625K
Fortnite,4/1/20,97.1M,136K,10.3K,58.4K,1.27M
Fortnite,3/1/20,66.2M,89.1K,6.4K,13.0K,289K
Fortnite,2/1/20,55.3M,79.7K,5.7K,11.9K,276K
Fortnite,1/1/20,53.8M,72.3K,5.9K,11.3K,619K
Fortnite,12/1/19,64.1M,86.4K,5.2K,35.6K,943K
Fortnite,11/1/19,56.6M,81.5K,4.9K,10.3K,414K
Fortnite,10/1/19,75.3M,106K,5.3K,43.2K,1.69M
Fortnite,9/1/19,60.4M,83.9K,4.9K,9.6K,335K
Fortnite,8/1/19,89.0M,120K,7.3K,14.9K,335K
Fortnite,7/1/19,90.5M,122K,7.7K,47.3K,1.29M
Fortnite,6/1/19,92.8M,129K,8.0K,15.4K,494K
Fortnite,5/1/19,107M,144K,9.1K,55.4K,642K
Fortnite,4/1/19,100M,139K,10.5K,22.0K,474K
Fortnite,3/1/19,101M,136K,11.3K,23.5K,429K
Fortnite,2/1/19,84.0M,125K,10.8K,66.6K,682K
Fortnite,1/1/19,127M,170K,13.7K,56.8K,762K
Fortnite,12/1/18,118M,158K,12.1K,22.5K,419K
Fortnite,11/1/18,110M,153K,9.4K,37.0K,1.06M
Fortnite,10/1/18,112M,151K,8.9K,21.2K,582K
Fortnite,9/1/18,106M,147K,10.3K,20.1K,729K
Fortnite,8/1/18,131M,177K,11.0K,17.4K,698K
Fortnite,7/1/18,151M,205K,10.9K,19.5K,835K
Fortnite,6/1/18,127M,176K,9.4K,23.8K,1.50M
